epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1415.72,1.11365,2.45066,0.92349,0.65188,0.1227,0.19828,0.12505,1.30764,4.48269,1.15863,0.000114615,0.000114615,0.000114615
81,1433.89,1.22811,2.5713,0.98769,0.65188,0.1227,0.19828,0.12505,1.30764,4.48269,1.15863,0.000109408,0.000109408,0.000109408
82,1452.25,1.01955,2.38154,0.91058,0.65188,0.1227,0.19828,0.12505,1.30764,4.48269,1.15863,0.000104201,0.000104201,0.000104201
83,1472.35,1.09958,2.37118,0.8998,0.62901,0.1227,0.19689,0.12464,1.30409,4.44327,1.15711,9.89932e-05,9.89932e-05,9.89932e-05
84,1492.16,1.02904,2.30179,0.89305,0.62901,0.1227,0.19689,0.12464,1.30409,4.44327,1.15711,9.37858e-05,9.37858e-05,9.37858e-05
85,1512.55,1.07824,2.30817,0.95338,0.62901,0.1227,0.19689,0.12464,1.30409,4.44327,1.15711,8.85784e-05,8.85784e-05,8.85784e-05
86,1531.91,1.12729,2.4665,0.92882,0.65166,0.1207,0.19885,0.12628,1.30386,4.46819,1.15107,8.3371e-05,8.3371e-05,8.3371e-05
87,1551.62,1.33287,2.49212,1.01677,0.65166,0.1207,0.19885,0.12628,1.30386,4.46819,1.15107,7.81636e-05,7.81636e-05,7.81636e-05
88,1571.24,1.15137,2.38405,0.94571,0.66033,0.12064,0.19637,0.11787,1.32054,4.62572,1.15522,7.29562e-05,7.29562e-05,7.29562e-05
89,1590.85,1.15902,2.59684,0.98029,0.66033,0.12064,0.19637,0.11787,1.32054,4.62572,1.15522,6.77488e-05,6.77488e-05,6.77488e-05
90,1610.43,1.12523,2.62796,0.88377,0.66033,0.12064,0.19637,0.11787,1.32054,4.62572,1.15522,6.25414e-05,6.25414e-05,6.25414e-05
91,1630.04,1.0486,2.27204,0.91928,0.47822,0.14609,0.199,0.12384,1.31564,4.42754,1.15949,5.7334e-05,5.7334e-05,5.7334e-05
92,1651.18,1.09127,2.45558,0.90411,0.47822,0.14609,0.199,0.12384,1.31564,4.42754,1.15949,5.21266e-05,5.21266e-05,5.21266e-05
93,1671.34,1.07113,2.42366,0.91248,0.47822,0.14609,0.199,0.12384,1.31564,4.42754,1.15949,4.69192e-05,4.69192e-05,4.69192e-05
94,1690.59,1.03125,2.73768,0.86458,0.64174,0.1207,0.2071,0.12955,1.30686,4.59852,1.1778,4.17118e-05,4.17118e-05,4.17118e-05
95,1710.89,1.03555,2.44471,0.90203,0.64174,0.1207,0.2071,0.12955,1.30686,4.59852,1.1778,3.65044e-05,3.65044e-05,3.65044e-05
96,1730.77,1.05554,2.21203,0.91419,0.48618,0.15197,0.20562,0.12747,1.3102,4.42023,1.1733,3.1297e-05,3.1297e-05,3.1297e-05
97,1750.39,0.94897,2.5315,0.87597,0.48618,0.15197,0.20562,0.12747,1.3102,4.42023,1.1733,2.60896e-05,2.60896e-05,2.60896e-05
98,1770.69,1.0565,2.36163,0.89924,0.48618,0.15197,0.20562,0.12747,1.3102,4.42023,1.1733,2.08822e-05,2.08822e-05,2.08822e-05
99,1790.99,0.98524,2.35307,0.90532,0.4836,0.15386,0.20535,0.12503,1.34634,4.43268,1.18359,1.56748e-05,1.56748e-05,1.56748e-05
100,1809.69,1.11524,2.46993,0.91618,0.4836,0.15386,0.20535,0.12503,1.34634,4.43268,1.18359,1.04674e-05,1.04674e-05,1.04674e-05
